职位名称,名称,地点,分类,时间,工作内容
WXG07-广研-QQ邮箱web前端开发工程师,WXG ," 广州,中国 ", 技术 ,2021/10/5,"1. 负责「QQ 邮箱」各类前端项目(Web&Webview、小程序、微信插件、浏览器插件等)的开发工作，也可承担部门下新产品的研发工作；
2. 支持前端工程化建设、前端项目性能优化等；
2. 不断打磨邮箱下各个子业务的产品功能，提供更优质的服务给到用户；"
WXG02-微信视频号后台开发工程师（广州/深圳）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"1. 视频号直播基础功能、玩法体验等系统的搭建与优化；
2. 视频号基础功能、运营体系、用户增长体系开发与优化；
3. 视频号 feed 流基础体验优化与性能优化。"
26699-智慧零售研发中心高级前端研发工程师（深圳）,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"负责智慧零售（ToB）相关小程序、管理后台、Node层开发工作，包括业务开发、框架组件开发以及性能优化等，与团队共同打造精益求精的产品；
积极关注研究前端新技术，推动团队持续提升技术能力，软件质量和研发效率。"
26699-智慧零售数据中台技术副总监,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"1． 负责智慧零售数据中台技术体系的构建，包括数据接入存储平台、数据处理分析平台、数据营销和经营分析平台、商品库及商品管理平台、商品推荐搜索平台的建设。
2． 负责智慧零售数据中心技术团队的管理，带领团队支撑腾讯有数和商品中台产品服务能力的建设，以及负责零售数据中台前沿技术方向的规划与落地。"
22989-视频编解码算法工程师（深圳）,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"1、参与视频编解码内核的实现和优化，包括H.264,H.265, AV1等；
2、研究编解码快速算法，实现新工具和特性，优化工程实现，提高编解码器画质和速度;
3、结合腾讯会议视频方案，实现视频编码器特性，如SVC、ROI等;
4. （可选）参与编解码相关研究及AI结合研究，如 高清低码、感知编码、ROI、视频编码损伤恢复等;
5、（可选）参与视频编解码算法的汇编优化，包括x86平台及客户端ARM平台指令集优化。"
22989-视频编解码算法工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/5,"1、参与视频编解码内核的实现和优化，包括H.264,H.265, AV1等；
2、研究编解码快速算法，实现新工具和特性，优化工程实现，提高编解码器画质和速度。
3、结合腾讯会议视频方案，实现视频编码器特性，如SVC、ROI等。
4. （可选）参与编解码相关研究及AI结合研究，如 高清低码、感知编码、ROI、视频编码损伤恢复等。
5、（可选）参与视频编解码算法的汇编优化，包括x86平台及客户端ARM平台指令集优化；"
22989-腾讯会议视频研发高级工程师（视频核心质量优化）,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"1. 负责腾讯会议核心质量及体验优化，包括 性能、画质、弱网性能、成本、延时、音画同步、首屏速度等;
2. 结合采集、编解码、传输、前后处理、AI 等技术，深入系统探寻优化方案，跟进并落地方案，提升视频核心体验。"
40931-三维重建SLAM算法高级工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/5,"负责多传感器融合的SLAM算法开发；
负责数字孪生场景自动生成算法；
负责数字孪生采集车定位算法开发。"
40836-Data Scientist(数据科学家),PCG ," 北京,中国 ", 技术 ,2021/10/5,"1.利用海量结构/非结构化数据挖掘用户行为，通过数据科学的方法积极寻找提升用户体验的增长点；
2.与工程师及其他数据科学家一起设计构建创新的实验平台，以提升研发效能，推动数据驱动文化；
3.研究，测试并落地新的实验方法。部署统计、机器学习模型帮助决策；
4.能把复杂的概念及数据洞察通过清晰有效的方式在跨团队合作中沟通。"
WXG10-企业微信后台开发工程师（成都）,WXG ," 成都,中国 ", 技术 ,2021/10/5,负责企业微信应用类后台系统开发/维护/运营工作
WXG10-117 企业微信iOS移动客户端开发工程师,WXG ," 成都,中国 ", 技术 ,2021/10/5,负责企业微信iOS客户端功能模块开发工作。
WXG10-企业微信PC端开发工程师（成都）,WXG ," 成都,中国 ", 技术 ,2021/10/5,"从事Windows平台下的应用程序开发工作； 
开发企业微信等PC的产品。"
WXG10-企业微信（高级）后台开发-政务方向,WXG ," 广州,中国 ", 技术 ,2021/10/5,"负责企业微信大型政府单位及超大型央企方向的后台功能开发和性能优化。
探索大型政府单位跨行政区划互联互通及混合云技术方案。"
WXG10-企业微信iOS客户端开发工程师-政务方向,WXG ," 广州,中国 ", 技术 ,2021/10/5,"从事企业微信—政务版的iOS客户端开发维护工作；
负责百万组织架构规模企业或政府单位私有化部署的客户端功能开发和性能优化;
探索多端融合的跨平台开发方向。"
WXG10-企业微信高级分布式架构后台开发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,负责企业微信核心系统的架构设计和开发；负责分布式存储/数据库、消息队列、分布式事务、票据系统、网络框架等基础设施的研发
WXG10-企业微信基础应用后台开发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等
WXG10-企业微信基础应用高级后台开发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等
WXG10-企业微信Android客户端开发工程师-政务方向,WXG ," 广州,中国 ", 技术 ,2021/10/5,"从事企业微信—政务版的Android客户端开发维护工作；
负责百万组织架构规模企业或政府单位私有化部署的客户端功能开发和性能优化；
探索多端融合的跨平台开发方向。"
WXG10-企业微信PC端开发工程师（广/深/成）（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/5,"从事Windows平台下的应用程序开发工作，开发企业微信等PC的产品；

工作地：深圳，广州，成都皆可"
WXG10-企业微信数据分析师（广/深/成）-广州,WXG ," 广州,中国 ", 技术 ,2021/10/5,"负责企业微信业务的数据相关工作； 
监控大盘与竞品数据和波动，分析原因，洞察空间；
基于业务理解，支持产品、行业、运营业务线的核心策略分析，评估健康度，指导业务决策； 
负责专项分析，通过算法优化，实现用户增长或产品体验优化； "
WXG10-企业微信PC端开发工程师（广/深/成）（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"从事Windows平台下的应用程序开发工作，开发企业微信等PC的产品；

工作地：深圳，广州，成都皆可"
WXG10-113 企业微信后台开发高级工程师（成都）,WXG ," 成都,中国 ", 技术 ,2021/10/5,负责企业微信基础业务与应用功能的后台开发/维护工作
WXG10-企业微信技术合作中心web前端开发工程师（广州/成都）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"1. 负责企业微信第三方平台的前端开发及性能优化工作
2. 支持企业微信对外开放能力的前端开发工作
3. 支持前端工程化建设，包括流程、规范、工具的建设等。"
WXG10-企业微信web前端开发工程师(广州),WXG ," 广州,中国 ", 技术 ,2021/10/5,"负责企业微信Web前端开发和优化工作；
支持前端工程化建设，包括流程、规范、工具的建设等。"
WXG10-113 企业微信后台开发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,负责企业微信应用类后台系统开发/维护/运营工作。
WXG10-企业微信iOS移动客户端开发工程师（广州/深圳）（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,负责企业微信iOS客户端功能模块开发工作。
WXG10-企业微信数据分析师（成都）,WXG ," 成都,中国 ", 技术 ,2021/10/5,"负责企业微信业务的数据相关工作； 
监控大盘与竞品数据和波动，分析原因，洞察空间；
基于业务理解，支持产品、行业、运营业务线的核心策略分析，评估健康度，指导业务决策； 
负责专项分析，通过算法优化，实现用户增长或产品体验优化； "
WXG10-企业微信终端开发（iOS/Mac）（成都）,WXG ," 成都,中国 ", 技术 ,2021/10/5,负责企业微信跨平台底层开发 以及 iOS\mac版本开发
WXG10-企业微信终端开发（iOS/Mac）（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,负责企业微信跨平台底层开发 以及 iOS\mac版本开发
WXG10-企业微信基础应用后台开发工程师（成都）,WXG ," 成都,中国 ", 技术 ,2021/10/5,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等
WXG10-企业微信Web前端开发工程师（成都）,WXG ," 成都,中国 ", 技术 ,2021/10/5,"负责企业微信Web前端开发和优化工作；
支持前端工程化建设，包括流程、规范、工具的建设等。"
WXG10-113 企业微信技术合作中心后台开发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,负责企业微信开放相关的后台研发工作，包括第三方生态建设、硬件对接等的研发与优化工作。
18428-Java研发专家,CDG ," 深圳,中国 ", 技术 ,2021/10/5,"1. 引领FiT Java开发体系的建设，扩大Java在FiT内部的使用范围；
2. 对Java的技术进行跟进研究，尤其是在新技术应用、性能优化、微服务、云原生等方面；
3. 承担FiT内部业务框架、业务组件、业务公共库的建设；
4. 承担FiT内部Java项目技术攻关、技术重构、问题定位等工作；
5. 参与FiT内部系统架构选型与优化等关键方案的决策；"
18428-业务安全架构师,CDG ," 深圳,中国 ", 技术 ,2021/10/5,"负责腾讯金融业务安全体系化建设工作，主要包含如下职责：
1. 配合金融业务架构云原生架构升级的总体战略目标，基于零信任安全模型，对金融业务研发流程和系统安全架构进行重构，持续提升金融业务的研发和运营过程中的安全；
2. 负责金融业务系统安全架构设计，确保系统的资金和数据安全、合规安全和隐私保护相关的需求设计和落地；
3. 基于云原生的思想和金融业务合规的相关要求，规划和设计互联网金融业务公共安全平台和体系，满足金融业务公共安全需求，避免业务的安全需求重复开发；"
18428-效能研发管理,CDG ," 深圳,中国 ", 技术 ,2021/10/5,"负责腾讯金融研发管理体系的建设和管理工作，持续提升金融业务研发整体效能和技术先进性，主要职责有：
1. 负责腾讯金融整体技术研发管理体系和流程的优化，包括研发团队架构和基础技术架构的持续优化也演进；
2. 站在全局视野的高度，对DevOps一体化研发体系、基础架构（公共组建、平台和中间件）、公共研发平台以及一体化运营平台进行整体规划和设计，提升整体研发效率和交付质量；
3. 协调研发各个团队，对研发过程进行持续改进，实现研发效能的持续改进，保持研发管理体系和基础技术体系的先进性；"
WXG03-微信小程序&公众号后台开发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"负责微信小程序与公众号两大开放平台运营体系的建设，包括但不限于：
1、海量运营安全系统、基础组件的建设
2、对C端、对B端的业务功能开发"
WXG01-微信视频号大数据开发工程师,WXG ," 广州,中国 ", 技术 ,2021/10/5,"负责微信基础产品和视频号的平台和运营能力建设；
参与微信基础产品和视频号的数据平台设计和搭建；
参与微信产品核心数据的维护和监控；
参与微信基础数据服务框架的开发和维护；
参与微信视频号业务的数据开发运营工作。"
WXG08-搜索算法高级研究员（广州/深圳）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"负责微信搜索数据质量控制，热点挖掘，视频搜索相关业务的研发和优化，包括但不限于作弊色情识别，新闻热点发现，视频搜索策略优化等。
负责微信搜索内容理解的研发和优化，包括但不限于视频内容理解，图片识别，文章/页面内容分析抽取等。"
WXG12-微信安全视频号直播数据分析师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"参与微信直播安全审核相关的数据分析工作；
搭建直播审核数据监控体系，通过流程分析发现审核平台和内容模型问题，提出优化建议，推动业务流程改进迭代；
监测直播和审核业务的日常数据，关注数据波动并能够及时分析和解读数据异动。"
WXG12-微信安全数据平台研发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"负责大数据实时数仓、实时计算系统的研发；
负责微信安全业务的数据开发和运营工作；
负责大数据分析平台的开发和运营工作。"
WXG02-微信终端测试开发工程师（北京）,WXG ," 北京,中国 ", 技术 ,2021/10/5,负责测试秒剪App，开发测试工具； 设计具有高扩展性、强可靠性、高性能的测试框架； 优化软件开发周期，提升研发效能，推动内建的产品质量； 测试方法/工具的创新。
WXG02-微信监控平台开发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"负责微信运营监控系统的开发、维护，包括：
1、负责监控日志收集、日志处理、数据存储平台的开发、维护。
2、负责监控算法、监控告警平台的开发、维护。
3、负责监控数据展示、故障处理等前端页面的开发、维护。"
WXG12-微信应用运维安全工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/5,"对线上业务进行安全风险评估、安全测试。
负责安全事件应急响应，分析跟踪事件，定位问题并制定解决方案。
推动系统安全问题的解决方案及落地工作。
进行数据生命周期安全建设，梳理安全风险及推进治理"
WXG02- 微信（高级）数据分析师,WXG ," 深圳,中国 ", 技术 ,2021/10/5,"1.负责业务基础数据建设，优化完善事件上报、指标体系和数据仓库，建立完备高效的数据体系；
2.负责业务指标数据日常监控、异动分析、实验分析以及专项分析，提供深度的业务insight和策略优化举措，进而推动落地闭环。同时可沉淀分析方法与工具；
3.负责推进数据工具建设，协同工程团队搭建flink、clickhouse等实时/离线监控工具、敏捷分析平台、细查平台等数据应用产品；
4.持续关注所在业务所在行业动态、产品创新、内容流行，为决策者提供行业及战略布局的分析报告。"
WXG02-微信计算机视觉高级算法工程师（视频号）（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/5,负责微信视频拍摄和剪辑方向相关的计算机视觉的算法研发，以及在视频号、朋友圈、直播等具体业务场景的落地。
WXG02-微信计算机视觉高级算法工程师（视频号）（北京）,WXG ," 北京,中国 ", 技术 ,2021/10/5,负责微信视频拍摄和剪辑方向相关的计算机视觉的算法研发，以及在视频号、朋友圈、直播等具体业务场景的落地。
35948-联邦学习后台开发工程师,CSIG ," 深圳,中国 ", 技术 ,2021/10/5,"1. 负责腾讯联邦学习产品的后台架构设计、开发及持续优化
2. 提升相关系统运营，提升易用性、可用性、稳定性，助力业务更好的发展"
TEG02-SDN控制器开发工程师,TEG ," 北京,中国 ", 技术 ,2021/10/5,"基于SDN控制器平台opendaylight，开发java应用； 
使用java语言，开发各类网络、云业务模型，并根据网络原理对业务进行编排及控制网络设备；
研究业界最新技术及其应用，解决创新研发过程中的关键问题和技术难点； 
根据项目任务计划按时完成软件编码和单元测试工作； 
按照开发流程编写相应模块的设计文档； 
与产品经理、测试工程师、其他团队沟通合作，保证产品研发工作的质量和进度； 
协调或指导团队里其它开发人员的工作。"
TEG02-NFV网络研发工程师（深圳）,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"负责NFV网络系统研发，主要包括分析业务应用场景、制定NFV网络解决方案、完成开发实现、实现与业务系统的对接落地；
负责推动NFV技术在腾讯网络环境落地应用；
负责研究高性能包处理框架的实现机制，并持续优化产品架构及方案；
负责跟进研究业界NFV动态，牵引产品演进方向。"
TEG02-NFV网络研发工程师（北京）,TEG ," 北京,中国 ", 技术 ,2021/10/5,"负责NFV网络系统研发，主要包括分析业务应用场景、制定NFV网络解决方案、完成开发实现、实现与业务系统的对接落地；
负责推动NFV技术在腾讯网络环境落地应用；
负责研究高性能包处理框架的实现机制，并持续优化产品架构及方案；
负责跟进研究业界NFV动态，牵引产品演进方向。"
TEG02-SDN控制器开发工程师（深圳）（深圳）,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"基于SDN控制器平台opendaylight，开发java应用； 
使用java语言，开发各类网络、云业务模型，并根据网络原理对业务进行编排及控制网络设备；
研究业界最新技术及其应用，解决创新研发过程中的关键问题和技术难点； 
根据项目任务计划按时完成软件编码和单元测试工作； 
按照开发流程编写相应模块的设计文档； 
与产品经理、测试工程师、其他团队沟通合作，保证产品研发工作的质量和进度； 
协调或指导团队里其它开发人员的工作。"
TEG05-高级安全研究员 (自动化漏洞挖掘方向) (深圳),TEG ," 深圳,中国 ", 技术 ,2021/10/5,"1. 负责自动化漏洞挖掘技术的研究，包括动态fuzzing，符号执行，基于AI或机器学习对传统漏洞挖掘技术进行优化等
2. 将自动化漏洞挖掘技术在实战项目中应用并不断改善效果，尝试在腾讯产品中落地
3. 发表相关的学术界或工业界论文，提升技术影响力。"
TEG05-高级后台研发工程师（深圳）,TEG ," 深圳,中国 ", 技术 ,2021/10/5,主导腾讯lua虚拟机引擎开发，负责带领研发团队进行技术攻坚。 腾讯目前有越来越多的客户端（例如手游）采用lua做上层应用实现，而lua的字节码存在容易反编译等逆向风险，因此重新设计实现一套lua的虚拟机&编译器用以对抗lua的软件逆向变得尤为重要。 设计需考虑稳定性、高性能两个重要指标，需要在不同的硬件平台上得以稳定运行。
TEG05-DevSecOps安全运营架构师,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"1、推动落地：结合腾讯实际业务情况，与公司其他团队协作来设计、推动实施及运营DevSecOps项目，提升业务研发安全能力；
2、安全研究：针对云原生以及DevOps中出现的风险进行安全研究，并且制定和实现可融入到DevSecOps流程的安全方案；
3、业界追踪：保持关注云原生安全及DevSecOps业界最新理念及安全动态、新安全技术及发展趋势，研究新技术在业务场景中的应用；
4、沉淀培训：形成技术知识的沉淀和分享，开展公司内交流和培训工作。"
TEG05-运营开发工程师（深圳）,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"负责安全系统的研发效率、使用体验的提升及相关平台工具的建设。
负责部门安全领域数据管理平台的建设和运营。"
TEG05-广告转化高级后台研发,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"负责效果广告系统转化后台架构设计与管理工作；
负责持续改善已有服务，优化系统薄弱点，理解产品业务，深入发掘和分析业务需求，主导架构设计及核心开发工作，推动技术不断升级，解决客户和平台问题；
参与完成转化闭环体系服务端建设；
参与持续优化广告转化效果，从营销转化视角寻求业务突破以及转化效果提升。
持续提升系统在高并发场景下的性能，同时能够主动及时发现系统潜在的技术风险并推动解决；"
TEG05-高级安全研究员 (漏洞挖掘研究方向),TEG ," 深圳,中国 ", 技术 ,2021/10/5,"1. 负责智能设备通信系统的安全攻防技术研究；
2. 负责进行源码或二进制漏洞的挖掘与利用，包括物联网设备、移动平台、基带等； 
3. 产出高质量漏洞并发表相关的学术界或工业界论文，提升技术影响力。"
TEG05-高级安全研究员 (隐私计算方向),TEG ," 深圳,中国 ", 技术 ,2021/10/5,"1. 负责密码学、安全计算、隐私保护等领域前瞻性技术预研，持续进行技术创新；
2. 负责隐私计算方向，基于Intel SGX、ARM TrustZone等前沿技术的调研分析，进行应用转化；
3. 负责数据安全/隐私保护/密码学相关应用场景的研发需求，设计并实现原型系统。"
TEG05-高级数据挖掘工程师,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"1、基于半结构化和无结构数据构建知识图谱；
2、融合知识图谱提升用户画像、推荐效果，服务广告系统；
3、团队的技术指导以及技术难点突破工作"
TEG05-质量管理高级工程师（深圳）,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"负责部门质量管理工作， 工作内容包括但不限于：
1. 负责研发运营管理流程的建设，负责组织相关流程的推行；
2. 推动解决核心安全系统的质量和效能问题，牵头总结、跟踪优化措施的落地；
3. 理解业务架构及实现原理，建设及运用质量数据，提前识别风险，推动规避；
4. 建设流程规范，并对流程执行过程中发现的问题给出解决建议；
5. 建设质量管理框架，整体把控业务质量和服务质量。"
TEG05-数据运营分析师,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"负责数据分析平台的运营，驱动平台质量、效率以及流程规范优化提升，包括：
1、核心指标体系构建：设计并开发平台运营指标体系，通过持续运营，为平台问题发现和业务决策提供数据支持；
2、负责质量运营数据和业务异常的监控，跟踪平台数据质量，主动感知平台异常，并和QA配合推动闭环；
3、负责平台用户的体验跟进和效率优化：包括平台任务生命周期管理流程，优化平台资源利用率，保障流程的规范性和效率；"
23295-腾讯电竞WEB前端开发工程师,IEG ," 深圳,中国 ", 技术 ,2021/10/5,"1.负责电竞平台产品的系统平台研发以及原生应用内的WEB开发工作；
2.结合业务发展情况，进行前端架构或研发流程优化；
3.对APP、H5、小程序等载体中与前端相关的技术进行研究和发散，为团队提供技术创新思路。"
TEG09-AI推理研发工程师（深圳/北京）,TEG ," 深圳,中国 ", 技术 ,2021/10/5,"负责机器学习平台上适应各大AI业务场景的高性能推理服务框架的设计和研发工作；
负责针对特定的硬件平台（X86 CPU，NVIDIA GPU，ASCENTD等）进行推理优化；
打造机器学习平台的推理加速能力，并在业务场景中落地。"
23671-企鹅号数据科学家,PCG ," 北京,中国 ", 技术 ,2021/10/5,"负责执行各类实验，包括设计和执行实验，给出实验分析并给业务决策提供推荐方案；
主导数据产品的开发，包含数仓的建立、数据的挖掘、清洗以及建立智能决策引擎；
共建实验平台，提升实验平台的准确性和可用性；
利用对业务的理解，通过数据挖掘和科学决策等手段来支持生态的建设；
推动数据治理，倡导和共建数支持、据驱动业务发展的文化。"
23671-视觉算法高级研究员,PCG ," 北京,中国 ", 技术 ,2021/10/5,"1.负责深度学习、图像理解、机器学习等前沿技术的研究，保持行业领先水平，持续突破技术上限；
2.负责计算机视觉和深度学习算法的开发与性能提升，涉及到的主要问题包括但不限于：视频理解，动作识别，内容生成等。"
23671-策略安全工程师,PCG ," 北京,中国 ", 技术 ,2021/10/5,"负责内容安全相关系统及产品的设计、研发相关工作；
负责多个内容产品的安全生态水位，负责安全策略引擎相关组件的架构和研发；
参与安全架构策略的改进，支撑审核人员管理， 提升审核效率。"
23671-企鹅号算法后台工程师（深圳）,PCG ," 深圳,中国 ", 技术 ,2021/10/5,"1、 主要负责内容理解相关算法的上线部署, 包括对一些主流算法框架的支持；
2、 主要负责内容理解整体算法后台的架构，算法性能优化等。"
CSIG15-智能平台产品部-语音识别算法研究员（北京）,CSIG ," 北京,中国 ", 技术 ,2021/10/5,"1. 面向应用场景优化语音识别系统，负责声学模型、语言模型等主要模块的改进；
2. 追踪业界前沿的语音识别技术，进行算法改进和创新；
3. 实现语音技术在更多应用场景下的落地，如语音评测、音频理解等。"
30360-社群-客户端跨平台开发--专项R,PCG ," 深圳,中国 ", 技术 ,2021/10/5,"1. 负责QQ/TIM等亿级用户的跨平台产品的功能开发，维护，以及性能优化等相关工作；
2. 负责跨平台相关的技术预研工作；"
38663-QQ-跨平台内核开发(NT项目)--专项R,PCG ," 深圳,中国 ", 技术 ,2021/10/5,"负责QQ终端功能开发，主要聚焦于QQ跨平台内核开发；
主要涉及网络组件、数据传输、协议&逻辑相关开发；
负责项目重点、难点的技术攻坚以及新技术预研等；"
40833-后台开发工程师,PCG ," 深圳,中国 ", 技术 ,2021/10/5,"1、负责腾讯PCG安全工具和平台的研发，包括：数据安全平台、访问控制系统、主机安全平台、安全扫描平台等
2、负责安全基础数据的处理与管理
3、负责安全相关新技术的研究应用，如：漏洞利用行为分析、UEBA、恶意行为检测等"
40833-业务安全风控算法高级研究员（数据挖掘）,PCG ," 深圳,中国 ", 技术 ,2021/10/5,负责将机器学习、数据挖掘方法应用于QQ、Qzone、企业QQ、视频、信息流等业务安全领域，负责腾讯社交及内容产品的反垃圾消息、反盗号、反作弊、反欺诈等工作，承接基础风控数据建设，安全态势感知、自动对抗体系和黑产团伙挖掘等工作。
41071-腾讯会议并行计算优化高级工程师-专项R,CSIG ," 深圳,中国 ", 技术 ,2021/10/4,"1. 基于CPU/GPU/DSP/NPU平台，对机器学习算法进行性能优化、基础算法库设计；
2. 跟踪机器学习算法、高性能异构计算领域技术发展，为机器学习平台提出创新构想，推动机器学习平台性能提升；
3. 负责将机器学习算法移植到腾讯会议各个平台和产品线，提升产品的质量、性能和稳定性。"
26563-高级游戏客户端开发,IEG ," 深圳,中国 ", 技术 ,2021/10/4,"1. 负责Unreal引擎下的客户端开发，程序框架及技术方案的设计和实现。
2. 负责构建渲染场景，UI交互逻辑，以及Gameplay的实现。
3. 负责与视觉、音频相关的联调优化以及性能优化工作。
4. 负责把游戏移植到Switch平台，以及Switch平台审核发布流程。
5. 负责产品需求的技术可行性评估。
6. 协助美术/策划建立高效的游戏移植流程, 完善并持续优化工具链。"
26563-高级游戏图形/引擎工程师,IEG ," 深圳,中国 ", 技术 ,2021/10/4,"1. 主导使用Unreal建立技术管线，并针对目标平台进行优化； 
2. 负责游戏渲染、动画、物理、AI等核心模块的开发优化； 
3. 优化游戏在视觉表现上的效果和性能参数； 
4. 梳理美术和图形渲染相关开发流程，改进工作管线。
5. 持续追踪行业动态，帮助技术团队在项目中落地新技术。"
22989-云原生私有化技术专家（深圳/杭州/北京/上海）,CSIG ," 深圳,中国 ", 技术 ,2021/10/4,腾讯云专有云产品中心底层基础技术团队，在云原生的技术风口为打造精细化调度与智能的专有云产品提供基础技术支撑能力，参与容器调度、中间件、大数据组件的建构演进、运维能力建设和稳定性保障。
15581-开放大世界MMORPG手游前台开发(深圳),IEG ," 深圳,中国 ", 技术 ,2021/10/4,"客户端核心模块的攻坚；
3D渲染效果的方案制定和实现。"
25927-移动游戏高级安全工程师（成都）,IEG ," 成都,中国 ", 技术 ,2021/10/4,"负责移动游戏安全相关工具研发与技术支持；
负责移动游戏和应用APP资源破解与风险分析；
通过工具平台的研发支撑，提升部门的游戏品质、效率和深度；"
WXG10-企业微信运营开发工程师,WXG ," 广州,中国 ", 技术 ,2021/10/4,负责运维平台建设，包括海量的数据存储、监控、统一的业务发布、运营门户等开发工作。
27141-知名IP射击手游UE4引擎工程师（通用底层方向）,IEG ," 深圳,中国 ", 技术 ,2021/10/4,"1.定制引擎功能模块；
2.清查、优化IOS/Android上游戏引擎内存、资源、包体、线程模型; 
3.开发或完善Android/IOS内存和性能相关工具。"
TEG15-支付系统后台开发工程师(深圳),TEG ," 深圳,中国 ", 技术 ,2021/10/4,"负责腾讯企业级计费中台相关业务需求的后台侧设计与开发；
负责腾讯重点业务交易系统的架构设计和建设工作；
负责建设线上聚合支付系统，并输出通用的行业计费解决方案；
负责推动和搭建适合企业收单/支付/交易管理的高效研发流程。"
TEG15-TDSQL-A数据库研发高级工程师 (北京/深圳),TEG ," 深圳,中国 ", 技术 ,2021/10/4,"1. 腾讯TDSQL-A在线企业级OLAP数据库的技术研发和产品设计；
2.研究相关领域前瞻技术并落地实现
3.关于我们：我们是腾讯集团专注数据库内核研发的技术团队，致力于为公司内外部客户提供高性能，高可用的数据库服务。"
WXG02-122 微信内容算法高级工程师（视频号）（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/4,负责微信视频号等业务的用户兴趣标签体系建设； 深挖用户感兴趣内容的分类与关联； 不断提升标签的精准度和覆盖率。
WXG02-微信数据挖掘工程师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/4,运用机器学习、深度学习、社交网络挖掘等技术，支持微信大数据应用项目的落地，包括但不局限视频号推荐召回、金融风控、游戏营销等场景。研究和运用前沿的技术，解决社交数据海量环境下遇到的各种极具挑战的难题。
WXG02-122 微信（高级）数据挖掘算法工程师（视频号）（深圳/广州）（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/4,负责微信视频号等业务的用户兴趣标签体系建设； 深挖用户感兴趣内容的分类与关联； 不断提升标签的精准度和覆盖率。
WXG02-112 微信实验系统算法研究员（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/4,"负责微信X实验系统算法模型研发：
统计模型，机器学习模型，因果推断，贝叶斯优化，序列化检验等。"
WXG02-113 微信高性能计算开发工程师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/4,负责微信高性能算法组件、高性能计算组件的架构设计与开发实现；提升微信高性能计算平台的影响力和易用性。
WXG02-133 微信支付运维工程师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/4,"负责社交支付与商业支付下各业务的运维工作；
保障系统稳定性，数据安全，工作重点为系统分析，优化，及自动化系统建设。"
WXG02-微信专家数据分析师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/4,"1、与业务方合作，负责科学分析产品、运营、推荐等核心策略，为业务策略迭代提供决策依据；
2、科学制定业务的指标评估体系、监控及分析指标异动原因，并构建关键数据集以支持数据运营和探索性分析；
3、科学地进行A/B Testing，包括设计和执行实验，并根据实验结果提出优化的业务策略；
4、负责增长分析、因果推断、社交传播等专题，识别并量化归因业务问题或社会现象，以数据洞察来驱动微信生态商业模式发现、用户增长机会、产品体验优化等。"
