职位名称,名称,地点,分类,时间,工作内容
18428-金融科技高级测试开发工程师,CDG ," 深圳,中国 ", 技术 ,2021/10/3,"1. 本科及以上学历，计算机或相关专业毕业，5年以上工作经验
2. 熟习日常测试工具和测试框架的应用，深刻理解测试各项技术，精通各种后台测试方法
3. 精通 python，熟悉C++/Java/nodejs/golang至少一种语言者或熟悉前端设计者优先
4. 具备支付、互联网金融等业务领域测试经验者优先
5. 有成功的工具及框架开发的实践经验者优先
6. 具有强烈的责任感，良好的沟通和表达能力
7. 具备创新性思维、较强的抗压能力和技术钻研能力"
TEG09-云数据库自治服务研发工程师,TEG ," 深圳,中国 ", 技术 ,2021/10/3,"依托于腾讯云和内部数十万的MySQL实例，致力于资源调度、负载预测、性能优化、故障自愈、数据安全等领域的智能化。
负责核心算法的设计和优化；
负责自治数据库产品（CDBTune智能参数调优、SQL优化、索引推荐、装箱调度等）的研发和运营，保证产品稳定性；
业界云数据库前沿技术的预研和应用；"
TEG09-芯片架构师【HR-TEG】,TEG ," 深圳,中国 ", 技术 ,2021/10/3,"1) 负责AI芯片和通用处理器或者细分领域的需求分析，主导AI，处理器芯片架构设计，竞争分析和规格定义；
2) 负责芯片领域的技术演进路标、关键技术，主导关键技术和架构的研究；
3) 负责大型芯片的架构设计，关键模块的把控和设计。"
40833-研运大数据仓库开发(AIOps),PCG ," 深圳,中国 ", 技术 ,2021/10/3,负责研运大数据仓库建设；负责搭建成本模型、质量模型、以及PCG内平台、中台和业务的质量指标体系搭建；搭建数据仓库，输出数据报表，确保数据质量及数据处理的时效性。
38663-Devops后台开发工程师--专项R,PCG ," 深圳,中国 ", 技术 ,2021/10/3,"责 PCG 社交平台与应用线工程效能自动化工具以及在线运营和监控平台的开发
负责参与研发流程的优化和落地, 针对研发流程的痛点, 制定工具和解决方案"
30933-NXS 服务器主程序,IEG ," 上海,中国 ", 技术 ,2021/10/3,"实现服务器框架设计，带领游戏服务器开发团队，制定团队目标， 分配、指导、验收团队成员的工作； 
主导游戏产品玩法需求的技术可行性评估，技术方案的设计和实现；
建立和策划、运营、客户端等团队之间良好的合作关系，完善游戏产品，打磨用户体验。"
15569-研发效率支持工程师,IEG ," 深圳,中国 ", 技术 ,2021/10/3,"搭建/维护版本管理系统,设计并实施游戏版本管理方案, 定制CI/CD系统, 建设QA能力, 兼顾研发环境稳定和新功能快速迭代, 通过规范/工具/流程保障大型游戏研发团队高效协作；
主动搜集不同岗位工作中的痛点, 协调相关同事分析制定改进方案并推动实施."
WXG03-微信小程序&公众号前端开发工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/3,"负责微信小程序与公众号两大开放平台运营体系的建设，包括但不限于：
1、海量运营安全系统、基础组件的建设；
2、对C端、对B端的业务功能开发。"
WXG03-微信小程序&公众号后台策略安全工程师（广州）,WXG ," 广州,中国 ", 技术 ,2021/10/3,负责微信开放平台风控体系建设，通过大数据分析和挖掘提炼公众号与小程序两大平台中出现的各种恶意行为，制定相应的安全策略并进行打击，保障用户的安全体验，给业务健康发展提供保障。
WXG01-微信视频号高级数据工程师,WXG ," 广州,中国 ", 技术 ,2021/10/3,"负责微信视频号和直播等业务的数据治理相关工作； 
负责设计数据埋点和上报方案，统筹数据规划治理； 
负责离线与在线数据开发工作，确保数据正确性以及时效性； 
负责数据pipeline的实施部署、性能优化、数据监控；
参与数据应用和数据服务建设，支撑团队敏捷开发迭代。"
TEG04-腾讯工蜂DevOps架构师（深圳/北京）【HR-TEG】,TEG ," 深圳,中国 ", 技术 ,2021/10/2,"1.负责大型分布式Git系统的架构设计和技术攻坚；
2.负责前沿技术和业界动态研究，建立技术影响力，参与制定产品方向;"
TEG04-TAPD企业级平台专家架构师（深圳）【HR-TEG】,TEG ," 深圳,中国 ", 技术 ,2021/10/2,"负责腾讯TAPD敏捷研发平台架构优化，提升稳定性、安全性、扩展性；
推动TAPD平台架构升级及技术栈转型；"
36811-腾讯新闻高级Android开发工程师,PCG ," 北京,中国 ", 技术 ,2021/10/2,"新闻客户端动态化能力改造，使用跨平台技术支持业务迭代；
新闻主端Android基础能力建设；
端内产品业务需求研发，按时保证质量完成开发任务；
开发流程和技术文档编写和维护。"
36811-腾讯新闻推荐算法工程师,PCG ," 北京,中国 ", 技术 ,2021/10/2,"参与腾讯新闻机器学习/推荐系统/搜索排序/互动策略相关算法研发和改进工作，提升用户体验和信息匹配效率。工作包括但不限于：
1 全端推荐（包括要闻，推荐，视频及垂类场景）的召回，排序，打散等基础模块的优化
2 直播、小说、短图文等多介质的分发优化
3 生态相关的策略优化"
36811-高级Android开发工程师(腾讯新闻),PCG ," 北京,中国 ", 技术 ,2021/10/2,"1. 新闻主端Android基础基础性能优化；
2. 新闻主端Android基础架构升级；
3. 新闻主端Android平台自动化测试脚手架搭建
4. 开发流程和技术文档编写和维护。"
18436-高级数据分析师,CDG ," 深圳,中国 ", 技术 ,2021/10/2,"1.  负责金融支付相关业务的数据分析工作，包括业务问题分析，运营效果分析，产品功能效果量化，业务发展预测等；
2.  负责资金、银行合作业务的数据分析和资金预测工作，如交易量增长分析、交易量预测等
3.  探索和抽象通用的数据分析方法，如流失预测，归因分析，路径分析，用户分群等"
40931-自动驾驶操作系统工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/2,"负责自主车系统软件定制化修改和实时性优化；
负责硬件设备底层驱动优化；
负责自主驾驶系统整体软件架构设计与维护；
负责自主驾驶汽车各功能模块接口设计与实现；
与各功能模块团队合作，自主驾驶系统完成集成并优化。"
40931-自动驾驶决策规划工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/2,"负责自动驾驶汽车决策与路径规划算法的研发；
基于深度学习的驾驶行为建模；
进行模型训练和调优等工作。"
40931-自动驾驶协调控制工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/2,"负责自动驾驶汽车车辆控制算法的研发和优化；
负责设计和开发车辆控制系统中的信号采集、标定等功能模块；
协助感知、决策等模块的测试和系统集成测试。"
40931-自动驾驶深度学习,CSIG ," 北京,中国 ", 技术 ,2021/10/2,"负责深度学习框架搭建，构建通用的研究平台，
支持自主驾驶系统感知处理、规划控制、地图构建等相关模块的研发；
带领团队将机器学习技术应用于自主驾驶系统，参与自主驾驶系统的工程化实现。"
40931-自动驾驶融合定位工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/2,"负责可见光相机、激光雷达、毫米波雷达等多传感器的信息处理和融合,提高自主驾驶车的环境感知能力；
负责基于多源信息融合的目标检测、跟踪、识别与定位；
负责基于多源信息融合的环境特征抽取，为地图构建提供支持；
为基于基于多源信息融合的导航定位提供支持。"
40931-自动驾驶基础架构开发工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/2,"建立大数据挖掘、分析和统计的基础平台；
负责大数据平台架构及流程设计；
对各类结构化、非结构化数据进行清洗融合。"
40931-自动驾驶工具链研发工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/2,"主要负责自动驾驶工具链研发工作
研发大数据挖掘、分析和统计算法；
对各类结构化、非结构化数据进行清洗融合。"
40931-自动驾驶算法及工程化工程师,CSIG ," 北京,中国 ", 技术 ,2021/10/2,"负责自动驾驶算法嵌入式系统迁移和工程化；
与算法研发人员共同工作，讨论制定合理的工程框架；
负责自动驾驶算法的工程化开发、系统集成和测试验证，包括评测指标体系构建、硬件在环以及实际系统验证等。"
30360-社交线Tech Lead（后台方向）,PCG ," 深圳,中国 ", 技术 ,2021/10/2,"负责后台开发团队的技术方向、方案把关及技术团队管理工作，推动技术中台项目在业务侧的落地;
推动和引导部分内技术项目的方案最优化及快速落地。对于现有系统持续优化，对团队基础功能组件抽像，对基础能力的规划和积累，以及具体的实现及落地;
把关团队代码质量及技术导向，推动技术在产品上的实际使用及效果提升。负责团队技术引导，打造高水平的技术团队;"
15570-知名IP动作手游工具管线开发工程师（深圳）,IEG ," 深圳,中国 ", 技术 ,2021/10/2,"负责UE4动作游戏编辑器架构设计与功能开发；
负责游戏玩法相关的工具链开发；
负责美术生产管线相关的工具链开发；"
15570-知名IP动作手游工具管线开发工程师（上海）,IEG ," 上海,中国 ", 技术 ,2021/10/2,"负责UE4动作游戏编辑器架构设计与功能开发；
负责游戏玩法相关的工具链开发；
负责美术生产管线相关的工具链开发；"
